country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,reported1st_case
Slovakia,336,22,,,7,329,1,62,NA,Mar 05
Andorra,334,,6,,6,322,10,4323, 7800,Mar 01
Costa Rica,330,16,2,,4,324,7,65,  040,Mar 04
Tunisia,312,,8,,2,302,10,26,  070,Mar 01
Uruguay,310,6,1,,,309,9,89,  030,Mar 12
Taiwan,306,8,5,2,39,262,,13,  020,Jan 20
Kazakhstan,302,18,1,,21,280,,16,  005,Mar 12
Moldova,298,35,2,,15,281,44,74,  050,Mar 06
North Macedonia,285,26,7,1,12,266,1,137,  300,Feb 25
Azerbaijan,273,64,4,,26,243,23,27,  040,Feb 27
Jordan,268,9,5,2,26,237,3,26,  050,Mar 01
Kuwait,266,11,,,72,194,13,62,NA,Feb 23
Burkina Faso,246,24,12,,31,203,,12,  060,Mar 08
San Marino,230,6,25,3,13,192,16,6778,73700,Feb 26
Cyprus,230,16,7,1,22,201,3,190,  600,Mar 08
Réunion,224,41,,,1,223,,250,NA,Mar 10
Albania,223,11,11,1,44,168,7,77,  400,Mar 07
Vietnam,203,9,,,55,148,3,2,NA,Jan 22
Oman,179,12,,,29,150,3,35,NA,Feb 23
Afghanistan,170,50,4,,2,164,,4,  010,Feb 23
Cuba,170,31,4,1,4,162,2,15,  040,Mar 10
Faeroe Islands,168,9,,,70,98,1,3438,NA,Mar 03
Ivory Coast,165,,1,,4,160,,6,  004,Mar 10
Senegal,162,20,,,27,135,,10,NA,Mar 01
Malta,156,5,,,2,154,4,353,NA,Mar 06
Ghana,152,,5,,2,145,1,5,  020,Mar 11
Belarus,152,58,,,32,120,2,16,NA,Feb 27
Uzbekistan,149,5,2,,7,140,8,4,  006,Mar 14
Channel Islands,141,33,2,,,139,,811, 1200,Mar 08
Cameroon,139,,6,,5,128,,5,  020,Mar 05
Honduras,139,29,3,,3,133,4,14,  030,Mar 10
Venezuela,135,16,3,,39,93,6,5,  010,Mar 12
Nigeria,131,20,2,1,8,121,,06,  001,Feb 27
Mauritius,128,21,3,,,125,1,101,  200,Mar 17
Brunei,127,1,1,,38,88,3,290,  200,Mar 08
Sri Lanka,122,5,2,1,15,105,5,6,  009,Jan 26
Palestine,116,7,1,,18,97,,23,  020,Mar 04
Cambodia,107,4,,,21,86,1,6,NA,Jan 26
Guadeloupe,106,,4,,17,85,10,265, 1000,Mar 12
Georgia,103,12,,,20,83,6,26,NA,Feb 25
Bolivia,97,16,4,3,,93,3,8,  030,Mar 09
Kyrgyzstan,94,10,,,3,91,,14,NA,Mar 17
Martinique,93,,1,,,92,12,248,  300,Mar 04
Montenegro,91,6,1,,,90,1,145,  200,Mar 16
Trinidad and Tobago,82,4,3,,1,78,,59,  200,Mar 11
Mayotte,82,19,,,10,72,3,301,NA,Mar 13
DRC,81,,8,,2,71,,09,  009,Mar 09
Rwanda,70,,,,,70,,5,NA,Mar 13
Gibraltar,69,4,,,34,35,,2048,NA,Mar 02
Paraguay,64,5,3,,1,60,3,9,  040,Mar 06
Liechtenstein,62,6,,,,62,,1626,NA,Mar 02
Kenya,50,8,1,,1,48,2,09,  002,Mar 12
Aruba,50,,,,1,49,,468,NA,Mar 12
Bangladesh,49,1,5,,19,25,1,03,  003,Mar 07
Monaco,49,3,1,,1,47,,1249, 2500,Feb 27
Isle of Man,49,7,,,,49,,576,NA,Mar 18
French Guiana,43,,,,6,37,,144,NA,Mar 06
Madagascar,43,4,,,,43,,2,NA,Mar 19
Macao,38,1,,,10,28,,59,NA,Jan 21
Guatemala,36,2,1,,10,25,1,2,  006,Mar 12
Jamaica,36,4,1,,2,33,,12,  030,Mar 09
French Polynesia,35,5,,,,35,2,125,NA,Mar 10
Zambia,35,6,,,,35,,2,NA,Mar 17
Barbados,33,,,,,33,,115,NA,Mar 16
Uganda,33,,,,,33,,07,NA,Mar 20
Togo,30,5,1,,1,28,,4,  010,Mar 05
El Salvador,30,6,,,,30,5,5,NA,Mar 18
Mali,25,7,2,1,,23,,1,  010,Mar 24
Ethiopia,23,2,,,4,19,1,02,NA,Mar 12
Niger,22,4,3,2,,19,,09,  010,Mar 18
Bermuda,22,,,,2,20,,353,NA,Mar 17
Guinea,22,6,,,,22,,2,NA,Mar 12
Congo,19,,,,,19,,3,NA,Mar 14
Tanzania,19,5,,,1,18,,03,NA,Mar 15
Djibouti,18,,,,,18,,18,NA,Mar 17
Maldives,17,,,,13,4,,31,NA,Mar 06
Saint Martin,15,4,1,1,2,12,,388, 2600,Feb 29
Haiti,15,,,,1,14,,1,NA,Mar 19
New Caledonia,15,,,,,15,,53,NA,Mar 17
Bahamas,14,,,,1,13,,36,NA,Mar 14
Myanmar,14,4,,,,14,,03,NA,Mar 22
Cayman Islands,12,,1,,,11,,183, 1500,Mar 12
Equatorial Guinea,12,,,,,12,,9,NA,Mar 13
Eritrea,12,,,,,12,,3,NA,Mar 20
Mongolia,12,,,,2,10,,4,NA,Mar 09
Curaçao,11,3,1,,2,8,,67,  600,Mar 12
Dominica,11,,,,,11,,153,NA,Mar 21
Namibia,11,,,,2,9,,4,NA,Mar 13
Greenland,10,,,,2,8,,176,NA,Mar 15
Syria,9,,1,,,8,,05,  006,Mar 21
Grenada,9,,,,,9,,80,NA,Mar 21
Saint Lucia,9,,,,1,8,,49,NA,Mar 12
Eswatini,9,,,,,9,,8,NA,Mar 13
Guyana,8,,1,,,7,,10,  100,Mar 11
GuineaBissau,8,6,,,,8,,4,NA,Mar 24
Laos,8,,,,,8,,1,NA,Mar 23
Libya,8,,,,,8,,1,NA,Mar 23
Mozambique,8,,,,,8,,03,NA,Mar 21
Seychelles,8,,,,,8,,81,NA,Mar 13
Suriname,8,,,,,8,,14,NA,Mar 12
Angola,7,,2,,,5,,02,  006,Mar 19
Gabon,7,,1,,,6,,3,  040,Mar 12
Zimbabwe,7,,1,,,6,,05,  007,Mar 19
Antigua and Barbuda,7,,,,,7,,71,NA,Mar 12
Saint Kitts and Nevis,7,5,,,,7,,132,NA,Mar 24
Sudan,6,,2,1,,4,,01,  005,Mar 12
Cabo Verde,6,,1,,,5,,11,  200,Mar 19
Benin,6,,,,,6,,05,NA,Mar 15
Vatican City,6,,,,,6,,7491,NA,Mar 05
St Barth,6,1,,,1,5,,607,NA,Feb 29
Sint Maarten,6,,,,,6,,140,NA,Mar 17
Nepal,5,,,,1,4,,02,NA,Jan 23
Chad,5,2,,,,5,,03,NA,Mar 18
Fiji,5,,,,,5,,6,NA,Mar 18
Mauritania,5,,,,2,3,,1,NA,Mar 12
Montserrat,5,,,,,5,,1002,NA,Mar 17
Turks and Caicos,5,1,,,,5,,129,NA,Mar 22
Gambia,4,,1,,,3,,2,  040,Mar 16
Nicaragua,4,,1,,,3,,06,  020,Mar 18
Bhutan,4,,,,,4,,5,NA,Mar 05
Belize,3,1,,,,3,,8,NA,Mar 22
Botswana,3,3,,,,3,,1,NA,Mar 29
CAR,3,,,,,3,,06,NA,Mar 14
Liberia,3,,,,,3,,06,NA,Mar 15
Somalia,3,,,,,3,,02,NA,Mar 15
MS Zaandam,2,,,,,2,,,NA,Mar 26
Anguilla,2,,,,,2,,133,NA,Mar 25
British Virgin Islands,2,,,,,2,,66,NA,Mar 24
Papua New Guinea,1,,,,,1,,01,NA,Mar 19
St Vincent Grenadines,1,,,,1,0,,9,NA,Mar 10
TimorLeste,1,,,,,1,,08,NA,Mar 20
China,81470,31,3304,4,75700,2466,633,57,  200,Jan 10
