country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
Malta,213,,,NA,2,211,3,482,NA,9703,21975
Montenegro,203,2,2,NA,1,200,4,323,  300,1456,2318
Faeroe Islands,181,,,NA,99,82,1,3704,NA,4890,100076
Georgia,170,8,1,NA,36,133,6,43,  030,2762,692
Sri Lanka,166,,5,NA,29,132,5,8,  020,,
Bolivia,157,18,10,NA,2,145,3,13,  090,591,51
Venezuela,155,,7,NA,52,96,6,5,  020,1779,63
DRC,154,,18,NA,3,133,,2,  020,,
Kyrgyzstan,147,3,1,NA,9,137,5,23,  020,9618,1474
Martinique,145,,3,NA,27,115,22,386,  800,,
Niger,144,,8,NA,,136,,6,  030,4012,166
Brunei,135,,1,NA,66,68,3,309,  200,7801,17832
Guadeloupe,134,,7,NA,24,103,14,335, 1700,,
Mayotte,134,,2,NA,14,118,3,491,  700,479,1756
Kenya,126,,4,NA,4,118,2,2,  007,2201,41
Isle of Man,126,,1,NA,,125,,1482, 1200,1319,15512
Cambodia,114,,,NA,50,64,1,7,NA,5768,345
Guinea,111,,,NA,5,106,,8,NA,,
Paraguay,104,8,3,NA,12,89,2,15,  040,1381,194
Trinidad and Tobago,103,,6,NA,1,96,,74,  400,736,526
Rwanda,102,,,NA,,102,,8,NA,,
Gibraltar,98,,,NA,52,46,,2909,NA,1269,37666
Bangladesh,88,18,9, 1,30,49,1,05,  005,2086,13
Liechtenstein,77,,1,NA,,76,,2020, 2600,900,23605
Madagascar,70,,,NA,,70,6,3,NA,,
Monaco,66,,1,NA,3,62,2,1682, 2500,,
Aruba,64,,,NA,1,63,,599,NA,863,8083
El Salvador,62,6,3,NA,2,57,4,10,  050,,
Guatemala,61,,2,NA,15,44,1,3,  010,1134,63
French Guiana,61,,,NA,22,39,1,204,NA,,
Jamaica,55,2,3,NA,7,45,,19,  100,540,182
Barbados,52,,,NA,,52,,181,NA,382,1329
Djibouti,50,,,NA,8,42,,51,NA,,
Uganda,48,,,NA,,48,,1,NA,2629,57
Macao,44,,,NA,10,34,,68,NA,,
Mali,41,,3,NA,1,37,,2,  010,,
Togo,41,,3,NA,17,21,,5,  040,,
French Polynesia,40,,,NA,,40,1,142,NA,583,2075
Zambia,39,,1,NA,2,36,,2,  005,619,34
Ethiopia,38,,,NA,4,34,1,03,NA,1222,11
Bermuda,37,,,NA,14,23,,594,NA,291,4673
Cayman Islands,35,,1,NA,1,33,,533, 1500,319,4854
Saint Martin,29,5,2,NA,7,20,6,750, 5200,,
Eritrea,29,,,NA,,29,,8,NA,,
Bahamas,28,,4,NA,,24,1,71, 1000,,
Sint Maarten,25,2,4,NA,6,15,,583, 9300,82,1912
Guyana,24,1,4,NA,,20,,31,  500,93,118
Congo,22,,2,NA,2,18,,4,  040,,
Gabon,21,,1,NA,1,19,,9,  040,,
Myanmar,21,,1,NA,,20,,04,  002,,
Haiti,21,1,,NA,1,20,,2,NA,247,22
Tanzania,20,,1,NA,3,16,,03,  002,,
Syria,19,3,2,NA,2,15,,1,  010,,
Maldives,19,,,NA,13,6,,35,NA,,
Libya,18,,1,NA,,17,,3,  010,294,43
GuineaBissau,18,,,NA,,18,,9,NA,,
New Caledonia,17,,,NA,1,16,,60,NA,1390,4869
Benin,16,,,NA,2,14,,1,NA,,
Equatorial Guinea,16,,,NA,1,15,,11,NA,,
Namibia,16,2,,NA,3,13,,6,NA,301,118
Antigua and Barbuda,15,,,NA,,15,1,153,NA,40,408
Dominica,14,,,NA,,14,,194,NA,255,3542
Mongolia,14,,,NA,2,12,,4,NA,,
Saint Lucia,14,,,NA,1,13,,76,NA,,
Fiji,12,,,NA,,12,,13,NA,,
Grenada,12,,,NA,,12,2,107,NA,45,400
Curaçao,11,,1,NA,5,5,,67,  600,,
Greenland,11,,,NA,3,8,,194,NA,542,9547
Laos,11,1,,NA,,11,,2,NA,604,83
Angola,10,,2,NA,2,6,,03,  006,,
Sudan,10,,2,NA,2,6,,02,  005,,
Liberia,10,,1,NA,3,6,,2,  020,,
Suriname,10,,1,NA,,9,,17,  200,,
Mozambique,10,,,NA,1,9,,03,NA,338,11
Seychelles,10,,,NA,,10,,102,NA,,
MS Zaandam,9,,2,NA,,7,,,NA,,
Zimbabwe,9,,1,NA,,8,,06,  007,316,21
Nepal,9,,,NA,1,8,,03,NA,1521,52
Chad,9,,,NA,,9,,05,NA,,
Saint Kitts and Nevis,9,,,NA,,9,,169,NA,113,2124
Eswatini,9,,,NA,,9,,8,NA,,
CAR,8,,,NA,,8,,2,NA,,
Cabo Verde,7,,1,NA,,6,,13,  200,,
Vatican City,7,,,NA,,7,,8739,NA,,
St Vincent Grenadines,7,,,NA,1,6,,63,NA,,
Somalia,7,,,NA,1,6,,04,NA,,
Mauritania,6,,1,NA,2,3,,1,  020,67,14
Montserrat,6,,,NA,,6,,1202,NA,,
St Barth,6,,,NA,1,5,,607,NA,,
Nicaragua,5,,1,NA,,4,,08,  020,,
Bhutan,5,,,NA,2,3,,6,NA,,
Turks and Caicos,5,,,NA,,5,,129,NA,,
Botswana,4,,1,NA,,3,,2,  040,175,74
Gambia,4,,1,NA,2,1,,2,  040,,
Belize,4,,,NA,,4,,10,NA,25,63
Malawi,4,,,NA,,4,,02,NA,,
Sierra Leone,4,,,NA,,4,,05,NA,,
Western Sahara,4,,,NA,,4,,7,NA,,
Anguilla,3,,,NA,,3,,200,NA,,
British Virgin Islands,3,,,NA,,3,,99,NA,,
Burundi,3,,,NA,,3,,03,NA,,
Caribbean Netherlands,2,,,NA,,2,,76,NA,10,381
Falkland Islands,1,,,NA,,1,,287,NA,,
Papua New Guinea,1,,,NA,,1,,01,NA,72,8
TimorLeste,1,,,NA,,1,,08,NA,,
China,81669,30,3329, 3,76964,1376,295,57,  200,,
