country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
Taiwan,385,3,6,,99,280,,16,03,45436,1908,Asia
Jordan,381,9,7,,177,197,5,37,07,17000,1666,Asia
Malta,370,20,3,1,16,351,4,838,7,16016,36273,Europe
San Marino,356,12,35,1,53,268,14,10492,1032,846,24933,Europe
Kyrgyzstan,339,41,5,,44,290,5,52,08,9618,1474,Asia
Mauritius,319,1,9,,28,282,3,251,7,6730,5292,Africa
Nigeria,305,,7,,58,240,2,1,003,5000,24,Africa
Senegal,278,13,2,,152,124,1,17,01,,,Africa
Bolivia,275,7,20,1,2,253,3,24,2,591,51,South America
Palestine,268,1,2,,46,220,,53,04,16992,3331,Asia
Montenegro,263,6,2,,5,256,7,419,3,2329,3708,Europe
Vietnam,258,1,,,144,114,8,3,,118807,1221,Asia
Georgia,242,8,3,,60,179,6,61,08,3271,820,Asia
Isle of Man,226,25,1,,112,113,11,2658,12,1934,22744,Europe
DRC,223,,20,,16,187,,2,02,,,Africa
Guinea,212,,,,15,197,,16,,,,Africa
Sri Lanka,198,8,7,,54,137,5,9,03,3248,152,Asia
Mayotte,196,5,3,1,59,134,3,718,11,1350,4948,Africa
Kenya,191,2,7,,24,160,2,4,01,6192,115,Africa
Djibouti,187,37,2,1,36,149,,189,2,4017,4066,Africa
Faeroe Islands,184,,,,145,39,,3766,,5408,110677,Europe
Venezuela,175,,9,,84,82,6,6,03,159597,5613,South America
Martinique,155,,6,,50,99,19,413,16,,,North America
Guadeloupe,143,,8,,67,68,13,357,20,,,North America
Guatemala,137,11,3,,19,115,3,8,02,1134,63,North America
Brunei,136,,1,,104,31,2,311,2,9637,22028,Asia
Paraguay,133,4,6,,18,109,1,19,08,2262,317,South America
Gibraltar,129,2,,,84,45,1,3829,,1558,46244,Europe
Cambodia,120,1,,,75,45,1,7,,5768,345,Asia
El Salvador,118,1,6,,19,93,4,18,09,,,North America
Rwanda,118,,,,18,100,,9,,806,62,Africa
Trinidad and Tobago,109,,8,,3,98,,78,6,1090,779,North America
Madagascar,102,9,,,11,91,1,4,,,,Africa
Monaco,92,2,1,,5,86,4,2344,25,,,Europe
Aruba,92,6,,,29,63,,862,,1118,10471,North America
Mali,87,,7,,22,58,,4,03,,,Africa
French Guiana,83,,,,43,40,1,278,,,,South America
Liechtenstein,79,,1,,55,23,,2072,26,900,23605,Europe
Togo,76,,3,,25,48,,9,04,2069,250,Africa
Ethiopia,69,4,3,,10,56,,06,003,3577,31,Africa
Barbados,67,,4,,11,52,4,233,14,736,2561,North America
Jamaica,65,2,4,,13,48,,22,1,907,306,North America
Congo,60,,5,,5,50,,11,09,,,Africa
Uganda,53,,,,3,50,,1,,4301,94,Africa
French Polynesia,51,,,,,51,,182,,744,2649,AustraliaOceania
Sint Maarten,50,,8,,3,39,2,1166,187,134,3125,North America
Liberia,48,11,5,,3,40,,9,10,,,Africa
Bermuda,48,,4,,25,19,2,771,64,354,5684,North America
Gabon,46,2,1,,1,44,,21,04,,,Africa
Cayman Islands,45,,1,,6,38,,685,15,479,7288,North America
Macao,45,,,,10,35,1,69,,,,Asia
Bahamas,42,,8,,5,29,1,107,20,,,North America
Guyana,40,3,6,,8,26,3,51,8,175,222,South America
Zambia,40,,2,,28,10,1,2,01,1239,67,Africa
GuineaBissau,38,2,,,,38,,19,,1500,762,Africa
Benin,35,,1,,5,29,,3,008,,,Africa
Eritrea,34,,,,,34,,10,,,,Africa
Tanzania,32,,3,,5,24,,05,005,,,Africa
Saint Martin,32,,2,,11,19,5,828,52,,,North America
Myanmar,31,4,3,,2,26,,06,006,1406,26,Asia
Haiti,31,,2,,,29,,3,02,365,32,North America
Syria,25,6,5,3,5,15,,1,03,,,Asia
Libya,24,,1,,8,15,,3,01,492,72,Africa
Antigua and Barbuda,21,,2,,,19,1,214,20,40,408,North America
Somalia,21,,1,,1,19,,1,006,,,Africa
Mozambique,20,,,,2,18,,06,,551,18,Africa
Angola,19,,2,,2,15,,06,006,,,Africa
Sudan,19,2,2,,2,15,,04,005,,,Africa
Maldives,19,,,,13,6,,35,,,,Asia
Equatorial Guinea,18,,,,3,15,,13,,854,609,Africa
Laos,18,2,,,,18,,2,,1094,150,Asia
New Caledonia,18,,,,1,17,,63,,2608,9135,AustraliaOceania
Dominica,16,,,,5,11,,222,,309,4293,North America
Fiji,16,,,,,16,,18,,,,AustraliaOceania
Mongolia,16,,,,4,12,,5,,,,Asia
Namibia,16,,,,3,13,,6,,362,142,Africa
Saint Lucia,15,,,,1,14,,82,,,,North America
Curaçao,14,,1,,7,6,,85,6,,,North America
Grenada,14,,,,,14,2,124,,92,818,North America
Zimbabwe,13,,3,,,10,,09,02,438,29,Africa
Belize,13,3,2,,,11,1,33,5,364,915,North America
Botswana,13,,1,,,12,,6,04,2527,1075,Africa
Malawi,12,3,2,1,,10,1,06,01,231,12,Africa
Saint Kitts and Nevis,12,,,,,12,,226,,205,3853,North America
St Vincent Grenadines,12,,,,1,11,,108,,56,505,North America
Eswatini,12,,,,7,5,,10,,,,Africa
Chad,11,,,,2,9,,07,,,,Africa
Greenland,11,,,,11,0,,194,,770,13564,North America
Seychelles,11,,,,,11,,112,,,,Africa
Suriname,10,,1,,4,5,,17,2,,,South America
MS Zaandam,9,,2,,,7,,,,,,
Nepal,9,,,,1,8,,03,,3524,121,Asia
Montserrat,9,,,,,9,1,1803,,36,7212,North America
Cabo Verde,8,1,1,,1,6,,14,2,,,Africa
Nicaragua,8,1,1,,,7,,1,02,,,North America
Turks and Caicos,8,,1,,,7,,207,26,61,1576,North America
CAR,8,,,,,8,,2,,,,Africa
Vatican City,8,,,,2,6,,9988,,,,Europe
Sierra Leone,8,,,,,8,,1,,,,Africa
Mauritania,7,,1,,2,4,,2,02,380,82,Africa
St Barth,6,,,,1,5,,607,,,,North America
Bhutan,5,,,,2,3,,6,,1166,1511,Asia
Burundi,5,2,,,,5,,04,,,,Africa
Falkland Islands,5,,,,1,4,,1437,,137,39368,South America
Gambia,4,,1,,2,1,,2,04,,,Africa
Sao Tome and Principe,4,,,,,4,,18,,19,87,Africa
South Sudan,4,,,,,4,,04,,,,Africa
Western Sahara,4,,,,,4,,7,,,,Africa
Anguilla,3,,,,,3,,200,,,,North America
British Virgin Islands,3,,,,2,1,,99,,,,North America
Caribbean Netherlands,2,,,,,2,,76,,10,381,North America
Papua New Guinea,2,,,,,2,,02,,72,8,AustraliaOceania
TimorLeste,2,,,,1,1,,2,,,,Asia
Saint Pierre Miquelon,1,,,,,1,,173,,,,North America
Yemen,1,,,,,1,,003,,,,Asia
China,81953,46,3339,3,77525,1089,141,57,2,,,Asia
